video_id,title,description,published_at,views,likes,playlist_id
SrtmQma106g,Welcome to Voxxed Days Amsterdam 2025 (room 1),"In this video, Ko Turk and Simone de Gijt welcome you to the conference! 👋

To give every attendee a unique live experience (and avoid overflow rooms where you're just staring at a screen), we hosted two welcomes and two keynotes simultaneously in different rooms. That way, everyone gets to experience the event's energy, live and in person. 🔥

Enjoy the show",2025-04-17T09:01:15Z,737,6,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
YFDBKkEUbE8,"Fail more, learn more! by Sander Mak","Nobody likes failure. And that's a problem!

As developers we tend to experience failure repeatedly. From breaking builds to production outages, from buggy features to startups that fold: failure always lurks around the corner. What if, instead of trying to avoid or minimise failure, we embrace it? We'll learn this requires at least a different mindset, and in most cases a different approach to dealing with failures.

Join this keynote to see how failure might actually help you to learn and grow as developer!",2025-04-07T13:45:23Z,1174,16,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
EF0utohGFqA,Welcome to Voxxed Days Amsterdam 2025 (room 2),"In this video, Michel Schudel and Kaya Weers welcome you to the conference! 👋

To give every attendee a unique live experience (and avoid overflow rooms where you're just staring at a screen), we hosted two welcomes and two keynotes simultaneously in different rooms. That way, everyone gets to experience the event's energy, live and in person. 🔥

Enjoy the show",2025-04-17T08:50:05Z,174,0,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
DYhbNSGUQKc,How to survive as a developer in the exponential age of AI by Sander Hoogendoorn,"Artificial intelligence is advancing at an unprecedented pace, transforming the software development landscape. While AI currently serves as an assistant, the emergence of autonomous AI raises significant questions about its impact on developers. Will we be replaced by AGI, agentic AI, or the next energy-adsorbing, hyped breakthrough from OpenAI, Meta, or Google? What exactly is vibe coding? And can we stay ahead, adapt, and lead in this AI-driven world?

In his signature charismatic style, Sander Hoogendoorn, CTO at iBOOD.com and a seasoned developer with over four decades of experience, confronts these pressing issues head-on. He will explore the tangible benefits AI offers developers and critically assess how AI reshapes our approaches to work, learning, and innovation. What can AI truly do for developers today?

The discussion will delve into code quality, balancing short-term gains with long-term maintainability, new forms of technical debt, and understanding who uses which tools and why. Most importantly, he will address the looming question: Will AI replace developers, or can we harness its (often hallucinating) power to tackle even more significant challenges and even more quickly resolve larger business problems?

Join this thought-provoking session to cut through the hype, challenge prevailing assumptions, and discover how you, as a developer, can not only survive but thrive in the exponential age of AI.",2025-04-07T13:45:19Z,853,22,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
mHEVLndYvko,Programming's Greatest Mistakes by Mark Rendle,"Most of the time when we make mistakes in our code, a message gets displayed wrong or an invoice doesn’t get sent. But sometimes when people make mistakes in code, things literally explode, or bankrupt companies, or make web development a living hell for millions of programmers for years to come.

Join Mark on a tour through some of the worst mistakes in the history of programming. Learn what went wrong, why it went wrong, how much it cost, and how these things can be really funny when they’re not happening to you.",2025-04-07T13:45:26Z,933,19,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
i3deSBTeLS0,Hunting with Stream Gatherers by Piotr Przybył,"Streams were a very nice addition to Java 8, based on lambdas. They allow streamlined data processing without side effects, taking us gently towards functional style. With newer additions to Java, like records and pattern matching, they shine even more in data-driven flows.
However, they don’t come without flaws.
For starters, the only available extension point was collectors: if your needs for gathering data weren’t satisfied by the whole Collectors ZOO, you could always fall back to creating your own Collector. However, if map, filter or flatMap weren’t enough, you couldn’t add your own intermediate operation.
Secondly, parallel streams were limited to ForkJoin pool, effectively rendering them unusable for scenarios involving any IO.
Since Java 24, Stream Gatherers will be our extension point for intermediate operations in streams.
If you’d like to comprehend how they work, find nice use cases and hunt for more performance, this talk is for you.",2025-04-07T13:45:23Z,280,9,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
Xex0-qG_bVA,Who Instruments the Instrumenters? by Johannes Bechberger,"Ever wonder how libraries like Spring, Mockito, and JaCoCo add arbitrary behavior to existing objects or even modify them altogether? We’ll demystify class generation and transformation in Java, exploring how the JVM allows us to dynamically generate and modify code for instrumentation.

Through concrete examples from real-world applications, we'll uncover how these techniques enhance and instrument Java code, from creating dynamic proxies to altering bytecode at runtime. You’ll gain an inside look at decompiled bytecode to understand the magic happening behind the scenes.

By the end of this session, you'll see how Java agents and instrumentation can streamline your development process and make code manipulation both effective and enjoyable.",2025-04-07T13:45:23Z,274,5,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
Rc6m_I1RkXM,Continuations: The magic behind virtual threads in Java by Balkrishna Rawool,"Have you wondered how virtual threads in Java are able to provide such high scalability and how is JVM able to switch between so many virtual threads while executing a single platform thread? If you did then this talk is for you.

Continuations is the magic that powers Virtual Threads. A continuation can be viewed as a representation of the current state of the program or it can be viewed as a reference to the rest of the program. It helps us to pause execution of a program (or part thereof) and then resume it later. This ability to pause/resume a program is a powerful mechanism and is the basis for providing virtual threads.

This talk explains what Continuations are and where they are used. But more importantly, we write our own simple VirtualThread class using the Continuation API provided by JDK. This will give you clear idea about the role of continuations in the nature of virtual threads.",2025-04-07T13:45:21Z,564,19,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
QyRjW5WNzN0,Words as weapons: The dark arts of Prompt Engineering.... by Jeroen Egelmeers,"With the rise of """"Co-pilots for everything,"""" our interaction with technology and daily tasks is evolving. Organizations are increasingly integrating LLMs into their applications, enhancing features like search tools, chatbots, and internal information systems.

Chances are, you're already working with Generative AI, or you will be soon. If not directly in the platform you're building, then by using it to boost your productivity. But are you aware of the risks before diving into use cases or development? Curiosity often pushes us to explore boundaries, sometimes finding ways to circumvent """"guardrails."""" These guardrails are designed to prevent misuse, such as asking ChatGPT how to build a bomb. But what happens when clever wordplay tricks LLMs into bypassing these safeguards?

In """"The dark arts of Prompt Engineering,"""" I will take you on a journey. After an intro fully generated by AI, we'll dive into Adversarial Prompting. We’ll discuss what guardrails are, how they function, and how to circumvent them through Prompt Jailbreaking—strictly for educational purposes. Understanding these risks is crucial for knowing when to implement safeguards or rethink your approach. This session goes beyond technical details—it’s about real-world impacts. Let’s learn from the mistakes other companies have already made.

I’ll even attempt to """"hack"""" you LIVE during the session.
Dare to join and see if I can break through your defenses?
Let’s find out!",2025-04-07T13:45:21Z,579,9,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
VVUngUrMjAo,Bring the Action: Using GraalVM in Production by Alina Yurenko,"GraalVM has been around for a while, and more and more developers and teams are using it to run Java applications faster, more efficiently, and more securely. According to the latest “State of Spring” survey, 37% of Spring users either already run applications natively compiled GraalVM in production, or are currently evaluating it, and 31% more have such plans.
For those who haven’t moved to GraalVM yet though, the questions and concerns are usually similar: how hard is it to migrate? Can I use my libraries and tools? How do I deploy and monitor such native applications? What about using the latest Java features?
In this hands-on session, we’ll talk about all the practical aspects of building and running applications with GraalVM, tooling, monitoring, and using popular libraries, and cover common questions that we get from users.",2025-04-07T13:45:21Z,556,20,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
